'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
103,'BB301/302B','BRINQ. LINHA APRE COLOR B REF:BB301/302B','0,00','0,00','16/05/2011 11:03:59','07/02/2013 01:15:08','N'
104,'BB56D','BRINQ. PIANO MUS INFANTIL REF:BB56D','0,00','15,00','16/05/2011 11:06:03','07/02/2013 01:15:08','N'
105,'BB33-D','BRINQ. PIANO MUS INFANTIL REF:BB33-D','0,00','15,00','16/05/2011 11:06:58','07/02/2013 01:15:08','N'
106,'BB506','BRINQ. PIST. DE AGUA REF:BB506','0,00','0,00','16/05/2011 11:13:17','07/02/2013 01:15:08','N'
107,'9188B','BRINQ. TRENZINHO ELET. REF:9188B','24,00','24,00','16/05/2011 11:52:46','07/02/2013 01:15:08','N'
108,'6188E','BRINQ. TRENZ. ELETR REF:6188E','28,00','28,00','16/05/2011 11:53:43','07/02/2013 01:15:08','N'
109,'6188A','BRINQ. TRENZ. ELETR REF:6188A','15,00','15,00','16/05/2011 11:54:15','07/02/2013 01:15:08','N'
110,'8188A','BRINQ. TRENZ. ELETR REF:8188A','55,23','55,23','16/05/2011 11:54:52','07/02/2013 01:15:08','N'
111,'9166B','BRINQ. TRENZ. ELETR REF:9166B','52,03','74,85','16/05/2011 11:55:21','07/02/2013 01:15:08','N'
112,'9188A','BRINQ. TRENZ. ELETR REF:9188A','58,53','58,53','16/05/2011 11:56:01','07/02/2013 01:15:08','N'
113,'9166A','BRINQ. TRENZ. ELETR REF:9166A','51,98','74,79','16/05/2011 11:56:34','07/02/2013 01:15:08','N'
114,'BB603','BRINQ. TRENZ. ELETR REF:BB603','1,98','1,98','16/05/2011 11:57:20','07/02/2013 01:15:08','N'
115,'BB602AB','BRINQ. TRENZ. ELETR REF:BB602AB','20,00','20,00','16/05/2011 11:58:16','07/02/2013 01:15:08','N'
116,'BB601ABC','BRINQ. TRENZ. ELETR REF:BB601ABC','20,00','20,00','16/05/2011 11:58:58','07/02/2013 01:15:08','N'
117,'BB600ABCD','BRINQ. TRENZ. ELETR REF:BB600ABCD','7,85','7,85','16/05/2011 11:59:35','07/02/2013 01:15:08','N'
