'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
'CX-6PCS','BRINQ. PIANO MUS INFANTIL REF:BB56D','84,34','96,99','16/05/2011 11:06:03','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ. PIANO MUS INFANTIL REF:BB33-D','85,47','98,29','16/05/2011 11:06:58','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. PIST. DE AGUA REF:BB506',0,0,'16/05/2011 11:13:17','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. TRENZINHO ELET. REF:9188B','71,26','71,26','16/05/2011 11:52:46','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. TRENZ. ELETR REF:6188E','50,42','50,42','16/05/2011 11:53:43','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. TRENZ. ELETR REF:6188A','56,63','56,63','16/05/2011 11:54:15','07/02/2013 01:15:08','N'
'CX-10PCS','BRINQ. TRENZ. ELETR REF:8188A','89,35','89,35','16/05/2011 11:54:52','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. TRENZ. ELETR REF:9166B','28,78','33,1','16/05/2011 11:55:21','07/02/2013 01:15:08','N'
'CX-10PCS','BRINQ. TRENZ. ELETR REF:9188A','89,22','89,22','16/05/2011 11:56:01','07/02/2013 01:15:08','N'
'CX-10PCS','BRINQ. TRENZ. ELETR REF:9166A','62,16','71,49','16/05/2011 11:56:34','07/02/2013 01:15:08','N'
'CX-16PCS','BRINQ. TRENZ. ELETR REF:BB603','58,7','58,7','16/05/2011 11:57:20','07/02/2013 01:15:08','N'
'CX-16PCS','BRINQ. TRENZ. ELETR REF:BB602AB','62,93','62,93','16/05/2011 11:58:16','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. TRENZ. ELETR REF:BB601ABC','46,04','46,04','16/05/2011 11:58:58','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQ. TRENZ. ELETR REF:BB600ABCD','28,99','28,99','16/05/2011 11:59:35','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. ROBO REF:TT387-9','17,3','17,3','16/05/2011 12:00:57','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. ROBO REF:TT936','44,4','44,4','16/05/2011 12:01:37','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ. ROBO REF:TT938','44,4','44,4','16/05/2011 12:02:13','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. ROBO REF:TT766','64,9','64,9','16/05/2011 12:02:47','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. ROBO REF:28088','21,7','21,7','16/05/2011 12:03:34','07/02/2013 01:15:08','N'
,'BRINQUEDO  REF:',0,0,'14/06/2011 14:22:11','07/02/2013 01:15:08','N'
,'BRINQUEDO  REF:',0,0,'14/06/2011 14:22:12','07/02/2013 01:15:08','N'
,'BRINQUEDO  REF:',0,0,'14/06/2011 14:22:13','07/02/2013 01:15:08','N'
'CX-72PCS','BRINQ.MUS. MIC. MUSIC REF:6907-B','16,8','16,8','29/06/2011 15:15:42','07/02/2013 01:15:08','N'
,'LIQUIDIFICADOR 220 VOL. REF.EDX-163','30,11','34,57','12/06/2012 11:13:20','06/03/2013 11:19:21','N'
'CX-72PCS','BRINQ. MICROF. MUSIC REF:6907-C','16,8','16,8','29/06/2011 15:16:34','07/02/2013 01:15:08','N'
